province,id,Year,Pop,CBR
Beijing,11,2009,1755.00,8.06
Tianjin,12,2009,1228.16,8.30
Hebei,13,2009,7034.40,12.93
Shanxi,14,2009,3427.36,10.87
Inner Mongolia,15,2009,2422.07,9.57
Liaoning,21,2009,4319.00,6.06
Jilin,22,2009,2739.55,6.69
Heilongjiang,23,2009,3826.00,7.48
Shanghai,31,2009,1921.00,8.64
Jiangsu,32,2009,7725.00,9.55
Zhejiang,33,2009,5180.00,10.22
Anhui,34,2009,6131.00,13.07
Fujian,35,2009,3627.00,12.20
Jiangxi,36,2009,4432.16,13.87
Shandong,37,2009,9470.30,11.70
Henan,41,2009,9487.00,11.45
Hubei,42,2009,5720.00,9.48
Hunan,43,2009,6406.00,13.05
Guangdong,44,2009,9638.00,11.78
Guangxi,45,2009,4856.00,14.17
Hainan,46,2009,864.07,14.66
Chongqing,50,2009,2859.00,9.90
Sichuan,51,2009,8185.00,9.15
Guizhou,52,2009,3798.00,13.65
Yunnan,53,2009,4571.00,12.53
Tibet,54,2009,290.03,15.31
Shaanxi,61,2009,3772.00,10.24
Gansu,62,2009,2635.46,13.32
Qinghai,63,2009,557.30,14.51
Ningxia,64,2009,625.20,14.38
Xinjiang,65,2009,2158.63,15.99
Beijing,11,2010,1961.90,7.48
Tianjin,12,2010,1299.29,8.18
Hebei,13,2010,7193.60,13.22
Shanxi,14,2010,3574.12,10.68
Inner Mongolia,15,2010,2472.18,9.30
Liaoning,21,2010,4374.90,6.68
Jilin,22,2010,2746.60,7.91
Heilongjiang,23,2010,3833.40,7.35
Shanghai,31,2010,2302.66,7.05
Jiangsu,32,2010,7869.34,9.73
Zhejiang,33,2010,5446.51,10.27
Anhui,34,2010,5956.71,12.70
Fujian,35,2010,3693.00,11.27
Jiangxi,36,2010,4462.25,13.72
Shandong,37,2010,9587.86,11.65
Henan,41,2010,9405.47,11.52
Hubei,42,2010,5727.91,10.36
Hunan,43,2010,6570.10,13.10
Guangdong,44,2010,10440.96,11.18
Guangxi,45,2010,4610.00,14.13
Hainan,46,2010,868.55,14.71
Chongqing,50,2010,2884.62,9.17
Sichuan,51,2010,8044.92,8.93
Guizhou,52,2010,3478.94,13.96
Yunnan,53,2010,4601.60,13.10
Tibet,54,2010,300.72,15.80
Shaanxi,61,2010,3735.23,9.73
Gansu,62,2010,2559.98,12.05
Qinghai,63,2010,563.00,14.94
Ningxia,64,2010,632.96,14.14
Xinjiang,65,2010,2185.11,15.99
Beijing,11,2011,2018.60,8.29
Tianjin,12,2011,1355.00,8.58
Hebei,13,2011,7240.51,13.02
Shanxi,14,2011,3593.00,10.47
Inner Mongolia,15,2011,2481.71,8.94
Liaoning,21,2011,4383.00,5.71
Jilin,22,2011,2749.41,6.53
Heilongjiang,23,2011,3834.00,6.99
Shanghai,31,2011,2347.46,6.97
Jiangsu,32,2011,7898.80,9.59
Zhejiang,33,2011,5463.00,9.47
Anhui,34,2011,5968.00,12.23
Fujian,35,2011,3720.00,11.41
Jiangxi,36,2011,4488.44,13.48
Shandong,37,2011,9637.00,11.50
Henan,41,2011,9388.00,11.56
Hubei,42,2011,5757.50,10.39
Hunan,43,2011,6595.60,13.35
Guangdong,44,2011,10504.85,10.45
Guangxi,45,2011,4645.00,13.71
Hainan,46,2011,877.34,14.72
Chongqing,50,2011,2919.00,9.88
Sichuan,51,2011,8050.00,9.79
Guizhou,52,2011,3468.72,13.31
Yunnan,53,2011,4630.80,12.71
Tibet,54,2011,303.30,15.39
Shaanxi,61,2011,3742.60,9.75
Gansu,62,2011,2564.19,12.08
Qinghai,63,2011,568.17,14.43
Ningxia,64,2011,639.45,13.65
Xinjiang,65,2011,2208.71,14.99
Beijing,11,2012,2069.30,9.05
Tianjin,12,2012,1413.15,8.75
Hebei,13,2012,7287.51,12.88
Shanxi,14,2012,3610.83,10.70
Inner Mongolia,15,2012,2489.85,9.17
Liaoning,21,2012,4389.00,6.15
Jilin,22,2012,2750.40,5.73
Heilongjiang,23,2012,3834.00,7.30
Shanghai,31,2012,2380.43,9.56
Jiangsu,32,2012,7919.98,9.44
Zhejiang,33,2012,5477.00,10.12
Anhui,34,2012,5988.00,13.00
Fujian,35,2012,3748.00,12.74
Jiangxi,36,2012,4503.93,13.46
Shandong,37,2012,9684.97,11.90
Henan,41,2012,9406.00,11.87
Hubei,42,2012,5779.00,11.00
Hunan,43,2012,6638.93,13.58
Guangdong,44,2012,10594.00,11.60
Guangxi,45,2012,4682.00,14.20
Hainan,46,2012,886.55,14.66
Chongqing,50,2012,2945.00,10.86
Sichuan,51,2012,8076.20,9.89
Guizhou,52,2012,3484.07,13.27
Yunnan,53,2012,4659.00,12.63
Tibet,54,2012,307.62,15.48
Shaanxi,61,2012,3753.09,10.12
Gansu,62,2012,2577.55,12.11
Qinghai,63,2012,573.17,14.30
Ningxia,64,2012,647.19,13.26
Xinjiang,65,2012,2232.78,15.32
Beijing,11,2013,2114.80,8.93
Tianjin,12,2013,1472.21,8.28
Hebei,13,2013,7332.61,13.04
Shanxi,14,2013,3629.80,10.81
Inner Mongolia,15,2013,2497.61,8.98
Liaoning,21,2013,4390.00,6.09
Jilin,22,2013,2751.28,5.36
Heilongjiang,23,2013,3835.02,6.86
Shanghai,31,2013,2415.15,8.18
Jiangsu,32,2013,7939.49,9.44
Zhejiang,33,2013,5498.00,10.01
Anhui,34,2013,6029.80,12.88
Fujian,35,2013,3774.00,12.20
Jiangxi,36,2013,4522.15,13.19
Shandong,37,2013,9733.39,11.41
Henan,41,2013,9413.35,12.27
Hubei,42,2013,5799.00,11.08
Hunan,43,2013,6690.60,13.50
Guangdong,44,2013,10644.00,10.71
Guangxi,45,2013,4719.00,14.28
Hainan,46,2013,895.28,14.59
Chongqing,50,2013,2970.00,10.37
Sichuan,51,2013,8107.00,9.90
Guizhou,52,2013,3502.22,13.05
Yunnan,53,2013,4686.60,12.60
Tibet,54,2013,312.04,15.77
Shaanxi,61,2013,3764.00,10.01
Gansu,62,2013,2582.18,12.16
Qinghai,63,2013,577.79,14.16
Ningxia,64,2013,654.19,13.12
Xinjiang,65,2013,2264.30,15.84